claim_ID,insured_amount,claim_amount,coverage_type,months_since_policy_start,province,claim_hour,previous_claim_count,sales_channel,customer_seniority_years,risk_zone
1,2248000,335000,Glass,11,CABA,16,1,Branch,2.4,High
2,1931000,328000,Theft,2,CABA,6,2,Online,6,Low
3,2324000,206000,Liability,48,Cordoba,21,0,Online,9.1,Medium
4,2762000,358000,Fire,7,Mendoza,9,2,Online,0.2,Medium
5,1883000,151000,Theft,22,Santa Fe,23,1,Online,4.7,High
6,1883000,235000,Flood,20,CABA,17,1,Online,0.5,Medium
7,2790000,100000,Fire,5,Mendoza,4,0,Call Center,7.4,Medium
8,2384000,456000,Fire,0,Buenos Aires,0,3,Online,1,High
9,1765000,277000,Liability,46,Cordoba,17,1,Online,4.4,Medium
10,2271000,517000,Theft,16,Buenos Aires,12,0,Call Center,1.1,Medium
11,1768000,380000,Theft,12,Buenos Aires,6,4,Call Center,4.7,Medium
12,1767000,345000,Liability,34,Cordoba,6,5,Online,1.6,Medium
13,2121000,241000,Liability,0,Santa Fe,13,3,Broker,2.4,Low
14,1043000,195000,Theft,34,Mendoza,11,0,Call Center,2.4,Medium
15,1138000,352000,Theft,12,Buenos Aires,19,4,Broker,6.4,High
16,1719000,293000,Flood,19,Buenos Aires,5,5,Broker,6,Medium
17,1494000,166000,Flood,33,Mendoza,17,0,Broker,7.3,High
18,2157000,148000,Liability,18,Buenos Aires,1,3,Call Center,0.2,Low
19,1546000,204000,Fire,1,Cordoba,8,2,Online,0.3,Low
20,1294000,482000,Theft,31,Mendoza,0,0,Branch,4.4,Medium
21,2733000,521000,Glass,37,CABA,21,1,Online,12,Low
22,1887000,320000,Theft,14,CABA,0,0,Online,18.9,Low
23,2034000,315000,Flood,13,Santa Fe,10,0,Broker,26.1,Medium
24,1288000,266000,Theft,6,Buenos Aires,21,1,Branch,2.3,Medium
25,1728000,207000,Glass,24,Cordoba,3,1,Broker,3.9,Medium
26,2055000,438000,Fire,51,Mendoza,20,2,Call Center,1,Medium
27,1425000,487000,Theft,25,Buenos Aires,19,1,Online,1.1,Medium
28,2188000,211000,Liability,35,Cordoba,4,0,Branch,4.6,Medium
29,1700000,292000,Glass,43,Cordoba,18,1,Online,6.3,Medium
30,1854000,255000,Liability,6,CABA,10,1,Online,4,High
31,1699000,258000,Fire,12,CABA,21,1,Online,14.4,Low
32,2926000,419000,Glass,13,Cordoba,0,0,Call Center,1.9,Medium
33,1993000,169000,Liability,19,Buenos Aires,17,0,Broker,0.9,Medium
34,1471000,347000,Fire,1,Mendoza,21,1,Online,2.8,Medium
35,2411000,373000,Theft,21,Santa Fe,11,1,Online,18.7,Medium
36,1390000,286000,Liability,2,Buenos Aires,8,1,Branch,4.4,Medium
37,2104000,389000,Theft,39,Cordoba,4,0,Broker,0.5,Low
38,1020000,315000,Glass,79,Mendoza,13,2,Call Center,2,Medium
39,1336000,422000,Theft,8,Santa Fe,17,3,Broker,9.8,Low
40,2098000,148000,Liability,16,Cordoba,20,4,Branch,4.7,Low
41,2369000,265000,Fire,41,Mendoza,5,1,Broker,9.2,Medium
42,2086000,293000,Theft,9,Mendoza,1,2,Branch,0.6,Medium
