claim_ID,insured_amount,claim_amount,coverage_type,months_since_policy_start,province,claim_hour,previous_claim_count,sales_channel,customer_seniority_years,risk_zone,anomaly_score,suspicion_score,is_suspicious,UMAP_1,UMAP_2,cluster
1,2248000,335000.0,Glass,11,CABA,16,1,Branch,2.4,High,1,-0.20134248182127668,0,12.234512,0.8859479,1
2,1931000,328000.0,Theft,2,CABA,6,2,Online,6.0,Low,1,-0.19406408942702424,0,10.179216,8.329627,1
3,2324000,206000.0,Liability,48,Cordoba,21,0,Online,9.1,Medium,1,-0.10596987902393634,0,10.114773,4.572813,1
4,2762000,358000.0,Fire,7,Mendoza,9,2,Online,0.2,Medium,1,-0.1818498516651021,0,10.300304,10.033422,1
5,1883000,151000.0,Theft,22,Santa Fe,23,1,Online,4.7,High,1,-0.15071230431602922,0,13.03895,1.864547,1
6,1883000,235000.0,Flood,20,CABA,17,1,Online,0.5,Medium,1,-0.20695186775816193,0,12.532403,1.6958481,1
7,2790000,100000.0,Fire,5,Mendoza,4,0,Call Center,7.4,Medium,1,-0.12238017237050514,0,8.624533,0.266326,1
8,2384000,456000.0,Fire,0,Buenos Aires,0,3,Online,1.0,High,1,-0.1160107235531474,0,7.9523396,10.133922,1
9,1765000,277000.0,Liability,46,Cordoba,17,1,Online,4.4,Medium,1,-0.18815027132951395,0,12.1153345,2.7472103,1
10,2271000,517000.0,Theft,16,Buenos Aires,12,0,Call Center,1.1,Medium,1,-0.15412751298358812,0,9.559732,-1.2920173,1
11,1768000,380000.0,Theft,12,Buenos Aires,6,4,Call Center,4.7,Medium,1,-0.16740680938322172,0,7.820822,11.027319,1
12,1767000,345000.0,Liability,34,Cordoba,6,5,Online,1.6,Medium,1,-0.15458214087512373,0,7.6051717,10.926946,1
13,2121000,241000.0,Liability,0,Santa Fe,13,3,Broker,2.4,Low,1,-0.17867748826941082,0,9.046653,11.22864,1
14,1043000,195000.0,Theft,34,Mendoza,11,0,Call Center,2.4,Medium,1,-0.13964866751760152,0,8.550424,-2.3529441,1
15,1138000,352000.0,Theft,12,Buenos Aires,19,4,Broker,6.4,High,1,-0.11575877425745595,0,8.643209,12.009059,1
16,1719000,293000.0,Flood,19,Buenos Aires,5,5,Broker,6.0,Medium,1,-0.1270557782324077,0,7.631418,11.006975,1
17,1494000,166000.0,Flood,33,Mendoza,17,0,Broker,7.3,High,1,-0.1354756921990869,0,9.808211,-2.049013,1
18,2157000,148000.0,Liability,18,Buenos Aires,1,3,Call Center,0.2,Low,1,-0.13777121446041513,0,7.5961847,10.244127,1
19,1546000,204000.0,Fire,1,Cordoba,8,2,Online,0.3,Low,1,-0.1786008434257057,0,10.683865,8.340886,1
20,1294000,482000.0,Theft,31,Mendoza,0,0,Branch,4.4,Medium,1,-0.1040008642813749,0,9.441452,3.4690702,1
21,2733000,521000.0,Glass,37,CABA,21,1,Online,12.0,Low,1,-0.06037644540984233,0,11.566834,4.027205,1
22,1887000,320000.0,Theft,14,CABA,0,0,Online,18.9,Low,1,-0.06836621855009284,0,11.318511,5.244492,1
23,2034000,315000.0,Flood,13,Santa Fe,10,0,Broker,26.1,Medium,1,-0.04165983640833193,0,12.300461,5.730856,1
24,1288000,266000.0,Theft,6,Buenos Aires,21,1,Branch,2.3,Medium,1,-0.16670772791031202,0,13.415061,2.7264283,1
25,1728000,207000.0,Glass,24,Cordoba,3,1,Broker,3.9,Medium,1,-0.19430252424271133,0,9.381414,2.9522302,1
26,2055000,438000.0,Fire,51,Mendoza,20,2,Call Center,1.0,Medium,1,-0.1527207230308541,0,11.791992,9.503829,1
27,1425000,487000.0,Theft,25,Buenos Aires,19,1,Online,1.1,Medium,1,-0.1393937191923516,0,12.711315,2.3054602,1
28,2188000,211000.0,Liability,35,Cordoba,4,0,Branch,4.6,Medium,1,-0.17414761926160777,0,7.875357,0.3968208,1
29,1700000,292000.0,Glass,43,Cordoba,18,1,Online,6.3,Medium,1,-0.17520900066472833,0,12.260882,3.083586,1
30,1854000,255000.0,Liability,6,CABA,10,1,Online,4.0,High,1,-0.22126248709682345,0,11.166162,2.3166711,1
31,1699000,258000.0,Fire,12,CABA,21,1,Online,14.4,Low,1,-0.14073682622858552,0,12.657953,4.7652674,1
32,2926000,419000.0,Glass,13,Cordoba,0,0,Call Center,1.9,Medium,1,-0.1131664378730704,0,8.782104,0.423668,1
33,1993000,169000.0,Liability,19,Buenos Aires,17,0,Broker,0.9,Medium,1,-0.1717042158390218,0,9.901018,-1.9465932,1
34,1471000,347000.0,Fire,1,Mendoza,21,1,Online,2.8,Medium,1,-0.16102756923565553,0,13.486005,2.427947,1
35,2411000,373000.0,Theft,21,Santa Fe,11,1,Online,18.7,Medium,1,-0.11504455811962094,0,11.882538,5.5213056,1
36,1390000,286000.0,Liability,2,Buenos Aires,8,1,Branch,4.4,Medium,1,-0.18962734225673017,0,11.066433,2.9968174,1
37,2104000,389000.0,Theft,39,Cordoba,4,0,Broker,0.5,Low,1,-0.1702444809017324,0,7.6458397,1.07564,1
38,1020000,315000.0,Glass,79,Mendoza,13,2,Call Center,2.0,Medium,1,-0.09947700898402334,0,8.528588,5.44073,1
39,1336000,422000.0,Theft,8,Santa Fe,17,3,Broker,9.8,Low,1,-0.130988149517001,0,12.47404,7.5520535,1
40,2098000,148000.0,Liability,16,Cordoba,20,4,Branch,4.7,Low,1,-0.1462999000128497,0,9.005595,12.394348,1
41,2369000,265000.0,Fire,41,Mendoza,5,1,Broker,9.2,Medium,1,-0.1658410602899878,0,10.024159,4.8854847,1
42,2086000,293000.0,Theft,9,Mendoza,1,2,Branch,0.6,Medium,1,-0.18536374297306518,0,9.432073,8.801003,1
43,1942000,33000.0,Fire,4,Santa Fe,14,2,Broker,3.7,Medium,1,-0.1507754493850329,0,11.352507,9.420107,1
44,1849000,191000.0,Fire,32,Cordoba,13,2,Branch,6.1,Medium,1,-0.19356631551771997,0,10.952675,7.986363,1
45,1261000,219000.0,Fire,28,CABA,10,2,Online,1.5,Medium,1,-0.1850183681382626,0,10.650122,7.9867783,1
46,1640000,395000.0,Fire,20,Buenos Aires,10,1,Broker,6.4,Medium,1,-0.18810927648535952,0,11.150869,3.1521475,1
47,1770000,229000.0,Fire,69,Santa Fe,10,2,Call Center,3.5,High,1,-0.16757628900551796,0,8.164468,6.491737,1
48,2529000,218000.0,Theft,74,Buenos Aires,22,0,Branch,7.0,High,1,-0.07700914612652943,0,8.937274,4.615531,1
49,2172000,382000.0,Fire,47,Santa Fe,23,2,Broker,3.7,Medium,1,-0.1378815571860864,0,11.960792,9.401549,1
50,1118000,138000.0,Fire,8,CABA,7,2,Broker,5.9,Low,1,-0.14202588277231054,0,10.4473,7.5461593,1
51,2162000,93000.0,Flood,6,Buenos Aires,21,1,Online,2.2,High,1,-0.1449183363736643,0,12.768148,0.8853897,1
52,1807000,264000.0,Theft,43,Mendoza,13,0,Broker,10.5,Medium,1,-0.13785120492542913,0,10.984717,4.546345,1
53,1662000,155000.0,Theft,25,Mendoza,19,2,Online,2.6,Medium,1,-0.18608124013769295,0,12.613174,9.08176,1
54,2306000,159000.0,Fire,12,Buenos Aires,1,4,Online,8.2,Medium,1,-0.11534837453092384,0,8.195851,10.158055,1
55,2515000,357000.0,Theft,12,Cordoba,0,2,Online,1.8,High,1,-0.1709749064681006,0,9.518315,9.33289,1
56,2466000,388000.0,Liability,46,Mendoza,12,2,Broker,3.3,High,1,-0.17762178941093354,0,10.938165,9.75796,1
57,1580000,379000.0,Theft,4,Santa Fe,23,3,Branch,2.9,High,1,-0.1346582894008968,0,9.42635,12.430619,1
58,1845000,411000.0,Theft,69,Cordoba,20,3,Branch,7.5,Medium,1,-0.11109768630059091,0,8.6625395,6.20526,1
59,2166000,424000.0,Liability,24,Santa Fe,8,2,Call Center,5.9,Medium,1,-0.19943276199757132,0,10.162497,8.683004,1
60,2488000,87000.0,Flood,37,CABA,10,1,Branch,4.9,Medium,1,-0.15229522531098483,0,10.10262,1.2747653,1
61,1760000,345000.0,Glass,11,Mendoza,7,0,Branch,3.6,High,1,-0.19293504011949464,0,8.24522,-1.624298,1
62,1907000,247000.0,Fire,21,CABA,14,1,Call Center,0.5,High,1,-0.21185868179014067,0,11.794903,1.5923783,1
63,1447000,225000.0,Liability,33,Cordoba,17,3,Call Center,1.6,High,1,-0.16389799538273153,0,9.069384,11.794789,1
64,1402000,356000.0,Fire,13,Santa Fe,14,0,Broker,0.1,Medium,1,-0.17031107877209567,0,9.071851,-2.7461138,1
65,2406000,127000.0,Liability,16,Mendoza,10,2,Online,4.6,High,1,-0.1808213345266244,0,10.557488,9.82635,1
66,2678000,125000.0,Theft,20,Buenos Aires,19,1,Online,0.7,Medium,1,-0.1440356143387943,0,11.960811,0.35240728,1
67,1964000,363000.0,Theft,1,CABA,15,3,Online,0.7,Medium,1,-0.17607645605525762,0,9.139916,11.772753,1
68,2502000,349000.0,Liability,47,Mendoza,18,3,Broker,4.9,Medium,1,-0.15427925973844658,0,10.069219,10.853352,1
69,2181000,314000.0,Liability,48,Buenos Aires,13,3,Broker,5.9,Medium,1,-0.16752871684395632,0,9.606252,10.673894,1
70,1677000,212000.0,Liability,7,Cordoba,8,1,Call Center,0.5,High,1,-0.20812597835531704,0,10.622406,2.2440686,1
71,2181000,374000.0,Fire,50,Buenos Aires,17,3,Branch,3.3,High,1,-0.1662770823777016,0,9.801245,11.410823,1
72,2769000,368000.0,Liability,32,Cordoba,11,2,Call Center,0.5,High,1,-0.16973900771720152,0,10.631175,10.17258,1
73,1982000,309000.0,Glass,15,CABA,21,2,Branch,0.4,Low,1,-0.19384431576502387,0,12.812279,9.722616,1
74,2782000,182000.0,Fire,10,Buenos Aires,14,2,Call Center,5.0,Low,1,-0.16194787407595435,0,11.215283,10.529169,1
75,690000,257000.0,Theft,12,Santa Fe,9,0,Call Center,6.8,High,1,-0.10744398513861902,0,8.128968,-2.4820476,1
76,2411000,384000.0,Glass,18,Santa Fe,22,0,Online,1.5,Medium,1,-0.15395246018288516,0,11.0523405,-1.7559028,1
77,2044000,433000.0,Theft,12,Santa Fe,23,1,Branch,2.7,Low,1,-0.1656473947034796,0,13.259069,1.3649572,1
78,1850000,267000.0,Liability,13,Cordoba,18,0,Call Center,3.6,Low,1,-0.19298979740160072,0,10.084902,-2.3242092,1
79,2046000,275000.0,Theft,5,Buenos Aires,9,0,Broker,10.3,Low,1,-0.15561369955865229,0,8.964141,-1.1972295,1
80,1006000,284000.0,Flood,29,Mendoza,17,2,Online,5.1,High,1,-0.14538862714555228,0,12.0985365,8.061453,1
81,1890000,327000.0,Flood,22,Buenos Aires,14,0,Online,9.7,Low,1,-0.15569704449084248,0,12.102823,4.2298717,1
82,2179000,242000.0,Fire,115,Buenos Aires,14,2,Online,1.3,Low,1,-0.09293847102777031,0,7.5507755,5.6017294,1
83,2739000,11000.0,Theft,3,CABA,17,0,Online,3.7,Medium,1,-0.1084492721677236,0,10.645549,-0.70610577,1
84,1741000,419000.0,Theft,2,Mendoza,1,1,Online,5.8,High,1,-0.16155548837479644,0,9.793381,2.8444421,1
85,1596000,479000.0,Fire,17,Santa Fe,9,3,Online,1.3,Low,1,-0.1596506582644281,0,8.121894,10.645557,1
86,1749000,239000.0,Theft,3,Cordoba,6,0,Online,0.9,Low,1,-0.17562317463123567,0,7.626405,-1.3690119,1
87,2458000,193000.0,Glass,22,Mendoza,12,1,Branch,5.3,Medium,1,-0.1925522649555243,0,10.557083,0.9611549,1
88,2164000,286000.0,Glass,5,Santa Fe,9,6,Branch,0.9,Low,1,-0.14529878057641837,0,7.9480023,11.715871,1
89,1735000,281000.0,Glass,15,Cordoba,19,1,Broker,5.3,Medium,1,-0.20912684615408456,0,12.9250965,2.3396504,1
90,2257000,400000.0,Fire,22,Mendoza,22,1,Branch,1.4,Low,1,-0.17690072616307678,0,12.781129,0.7530024,1
91,2049000,305000.0,Glass,14,Cordoba,12,4,Call Center,2.8,Low,1,-0.17949984198251773,0,8.27374,11.744689,1
92,2484000,221000.0,Theft,9,Cordoba,21,1,Online,4.1,High,1,-0.1684021260814882,0,12.386894,0.39846486,1
93,1649000,168000.0,Fire,36,Santa Fe,19,2,Branch,2.4,Low,1,-0.1697014522866711,0,12.369214,8.921387,1
94,1836000,387000.0,Theft,46,CABA,4,1,Call Center,1.6,High,1,-0.19029566383836916,0,8.428128,2.98364,1
95,1804000,360000.0,Glass,7,Santa Fe,10,2,Online,12.5,Medium,1,-0.16942370909685234,0,11.225,6.839223,1
96,1268000,406000.0,Theft,40,Mendoza,7,2,Branch,14.2,Medium,1,-0.10616228697200925,0,10.708186,5.911737,1
97,2148000,203000.0,Flood,11,Santa Fe,5,1,Online,1.0,High,1,-0.21352350799356917,0,9.798224,1.714634,1
98,2131000,484000.0,Liability,16,Santa Fe,2,1,Branch,11.1,Low,1,-0.13880156303491664,0,10.702247,4.48552,1
99,2003000,126000.0,Theft,6,Santa Fe,9,2,Branch,0.3,Medium,1,-0.18202778643395034,0,10.742538,9.063555,1
100,1883000,371000.0,Fire,23,Mendoza,7,1,Branch,0.2,Low,1,-0.21201923145840257,0,10.367535,1.9656048,1
101,1292000,109000.0,Fire,2,Mendoza,22,0,Broker,5.5,Low,1,-0.09000730394790268,0,9.74631,-2.9758596,1
102,1790000,221000.0,Liability,21,Cordoba,19,1,Branch,1.8,High,1,-0.20126921486549554,0,12.9678955,1.9164886,1
103,1829000,456000.0,Liability,109,Cordoba,17,2,Broker,1.7,Medium,1,-0.07508480764166303,0,7.9097896,5.4916945,1
104,1599000,383000.0,Theft,33,Mendoza,1,1,Broker,2.8,Medium,1,-0.17582091077581047,0,9.034205,3.0651932,1
105,1919000,245000.0,Theft,54,Cordoba,17,1,Branch,1.0,Low,1,-0.18062284329906936,0,8.641561,4.378229,1
106,2202000,248000.0,Glass,14,Santa Fe,1,3,Call Center,10.6,Medium,1,-0.13305765866450725,0,8.527999,9.636052,1
107,2943000,310000.0,Theft,3,Buenos Aires,12,0,Call Center,0.5,Medium,1,-0.12461910511871582,0,10.268569,-0.41757083,1
108,2087000,351000.0,Liability,8,Buenos Aires,23,1,Call Center,6.3,Medium,1,-0.15344945826551631,0,13.017063,1.7120701,1
109,2129000,425000.0,Liability,1,Cordoba,13,1,Online,1.5,Low,1,-0.2000327814646926,0,11.260476,1.3553355,1
110,1963000,254000.0,Fire,16,Cordoba,20,3,Online,4.1,High,1,-0.19181263709272572,0,9.747625,12.303798,1
111,1041000,139000.0,Flood,25,CABA,12,2,Branch,4.1,Low,1,-0.1437913400743736,0,11.595438,7.803025,1
112,1987000,316000.0,Liability,13,Santa Fe,14,3,Online,1.6,High,1,-0.1983450569264174,0,9.211149,11.493436,1
113,2030000,254000.0,Fire,19,Santa Fe,11,1,Call Center,7.3,Low,1,-0.20491470250493032,0,10.794969,2.4553082,1
114,3232000,170000.0,Glass,9,CABA,11,1,Online,1.3,Medium,1,-0.1246330342504457,0,10.260476,0.21640834,1
115,1904000,330000.0,Flood,2,CABA,11,0,Online,0.5,High,1,-0.1860817238164995,0,9.040836,-2.0865703,1
116,2151000,279000.0,Glass,13,Buenos Aires,22,0,Branch,0.5,Low,1,-0.1607635227292895,0,10.796641,-2.1526012,1
117,1983000,331000.0,Theft,19,Santa Fe,11,0,Call Center,12.9,High,1,-0.14611931683907275,0,11.867945,4.786252,1
118,1416000,211000.0,Flood,97,Santa Fe,22,2,Broker,3.2,Low,1,-0.06257999525572999,0,8.169564,5.508026,1
119,2571000,349000.0,Fire,10,Mendoza,17,2,Branch,9.3,Medium,1,-0.16405687051748913,0,11.724378,10.334925,1
120,2376000,168000.0,Theft,27,Santa Fe,23,1,Broker,10.0,Medium,1,-0.11678062121878074,0,12.256103,4.004438,1
121,2396000,217000.0,Fire,41,Buenos Aires,14,0,Online,5.6,High,1,-0.15880172691728928,0,9.949547,-0.73821205,1
122,1545000,276000.0,Theft,9,Buenos Aires,5,1,Branch,16.0,Low,1,-0.1270733443320876,0,11.452721,5.069495,1
123,2701000,474000.0,Flood,63,CABA,7,2,Branch,6.0,Low,1,-0.11289417360964421,0,8.130656,6.986966,1
124,1299000,378000.0,Glass,9,Buenos Aires,12,2,Branch,6.3,Medium,1,-0.17718608704656102,0,11.130593,7.8489,1
125,2293000,408000.0,Glass,84,Buenos Aires,2,0,Broker,0.5,High,1,-0.09862585740825758,0,7.3979588,4.4632187,1
126,3095000,442000.0,Theft,0,Mendoza,18,2,Branch,12.3,Medium,1,-0.06579550981439486,0,12.226359,5.6000657,1
127,1505000,660000.0,Flood,24,Buenos Aires,18,2,Broker,1.2,Medium,1,-0.11472472795049016,0,12.659057,9.357386,1
128,1717000,304000.0,Theft,37,Cordoba,13,1,Broker,10.3,Medium,1,-0.16931758705447142,0,11.29482,3.8958483,1
129,2050000,442000.0,Fire,7,Cordoba,21,1,Call Center,6.6,Medium,1,-0.162044366252877,0,12.992133,1.8812914,1
130,1748000,401000.0,Liability,2,CABA,8,2,Call Center,5.2,Medium,1,-0.19474066203938523,0,10.384769,8.191658,1
131,1225000,400000.0,Theft,0,Santa Fe,1,1,Broker,2.0,Low,1,-0.12109193074745567,0,9.785094,3.2750003,1
132,2034000,477000.0,Fire,1,Santa Fe,9,0,Call Center,1.7,Low,1,-0.16025090975263356,0,8.864428,-1.3924257,1
133,1469000,258000.0,Flood,18,Mendoza,18,0,Broker,13.4,Medium,1,-0.11956770263601146,0,12.422518,4.4419894,1
134,2237000,250000.0,Liability,43,Buenos Aires,13,1,Call Center,5.1,High,1,-0.1970330344009698,0,8.841933,3.023595,1
135,1540000,332000.0,Flood,1,Buenos Aires,7,4,Call Center,0.5,High,1,-0.14329270771900243,0,7.6763835,11.121967,1
136,2775000,282000.0,Liability,2,Buenos Aires,18,2,Call Center,3.1,Medium,1,-0.1657500368422536,0,11.447147,10.776234,1
137,1608000,332000.0,Fire,0,Buenos Aires,11,1,Broker,10.4,Medium,1,-0.16197951464743499,0,11.451637,3.7875545,1
138,1839000,456000.0,Fire,7,Buenos Aires,3,2,Branch,2.8,High,1,-0.18330174969663593,0,9.814131,8.539762,1
